package,license_expression,disposition,notes
alembic,MIT,accepted,
annotated-doc,MIT,accepted,
annotated-types,MIT,accepted,
anyio,MIT,accepted,
argon2-cffi,MIT,accepted,
argon2-cffi-bindings,MIT,accepted,
attrs,MIT,accepted,
certifi,MPL-2.0,reviewed,File-level copyleft; preserve upstream license and notices.
cffi,MIT-0,accepted,
charset-normalizer,MIT,accepted,
click,BSD-3-Clause,accepted,
coverage,Apache-2.0,accepted,
cryptography,Apache-2.0 OR BSD-3-Clause,reviewed,Dual-license package; preserve wheel notices.
fastapi,MIT,accepted,
greenlet,MIT AND PSF-2.0,accepted,
h11,MIT,accepted,
httpcore,BSD-3-Clause,accepted,
httptools,MIT,accepted,
httpx,BSD-3-Clause,accepted,
idna,BSD-3-Clause,accepted,
iniconfig,MIT,accepted,
joblib,BSD-3-Clause,accepted,
jsonschema,MIT,accepted,
jsonschema-specifications,MIT,accepted,
Mako,MIT,accepted,
MarkupSafe,BSD-3-Clause,accepted,
mypy,MIT,accepted,
mypy_extensions,MIT,accepted,
narwhals,MIT,accepted,
numpy,BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0,reviewed,Composite upstream expression recorded from package metadata.
paho-mqtt,EPL-2.0 OR BSD-3-Clause,reviewed,Dual-license expression; BSD-3-Clause option is compatible with distribution.
packaging,Apache-2.0 OR BSD-2-Clause,reviewed,Dual-license package; preserve upstream notices.
pathspec,MPL-2.0,reviewed,File-level copyleft; preserve upstream license and notices.
pdfminer.six,MIT,accepted,
pdfplumber,MIT,accepted,
pillow,MIT-CMU,accepted,
pluggy,MIT,accepted,
psycopg,LGPL-3.0-only,reviewed,Dynamically imported library; preserve upstream license and relinking rights.
psycopg-binary,LGPL-3.0-only,reviewed,Binary distribution may bundle third-party libraries; preserve wheel notices.
psycopg-pool,LGPL-3.0-only,reviewed,Dynamically imported library; preserve upstream license and relinking rights.
pycparser,BSD-3-Clause,accepted,
pydantic,MIT,accepted,
pydantic-settings,MIT,accepted,
pydantic_core,MIT,accepted,
PyJWT,MIT,accepted,
Pygments,BSD-2-Clause,accepted,
pypdf,BSD-3-Clause,accepted,
pypdfium2,BSD-3-Clause AND Apache-2.0 AND LicenseRef-PDFium-Dependencies,reviewed,Binary wheel includes PDFium and its recorded third-party dependency licenses.
pytest,MIT,accepted,
pytest-asyncio,Apache-2.0,accepted,
pytest-cov,MIT,accepted,
python-dotenv,BSD-3-Clause,accepted,
python-multipart,Apache-2.0,accepted,
PyYAML,MIT,accepted,
referencing,MIT,accepted,
rpds-py,MIT,accepted,
reportlab,BSD-3-Clause,accepted,
ruff,MIT,accepted,
scikit-learn,BSD-3-Clause,accepted,
scipy,BSD-3-Clause,accepted,
SQLAlchemy,MIT,accepted,
starlette,BSD-3-Clause,accepted,
threadpoolctl,BSD-3-Clause,accepted,
typing-inspection,MIT,accepted,
typing_extensions,PSF-2.0,accepted,
uvicorn,BSD-3-Clause,accepted,
uvloop,MIT,accepted,
watchfiles,MIT,accepted,
websockets,BSD-3-Clause,accepted,
