references,quantity,manufacturer,manufacturer_part_number,value,package,rating,role,sourcing_note
C1,1,Panasonic,EEE-FK1A101P,100uF,SMD_D8,"100 uF, 10 V",input bulk decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C10,1,Murata,GRM188R71C104KA01D,100nF,0603,"100 nF, 16 V, X7R",MAX3485 decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C2,1,Murata,GRM21BR61A106KE19L,10uF,0805,"10 uF, 10 V, X5R",regulator input decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C3,1,Murata,GRM21BR61A106KE19L,10uF,0805,"10 uF, 10 V, X5R",regulator output decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C4,1,Murata,GRM31CR61A226ME15L,22uF,1206,"22 uF, 10 V, X5R",ESP32 local bulk decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C5,1,Murata,GRM188R71C104KA01D,100nF,0603,"100 nF, 16 V, X7R",ESP32 high-frequency decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C6,1,Murata,GRM188R71C104KA01D,100nF,0603,"100 nF, 16 V, X7R",TMP117 decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C7,1,Murata,GRM188R71C104KA01D,100nF,0603,"100 nF, 16 V, X7R",INA219 decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C8,1,Murata,GRM188R71C104KA01D,100nF,0603,"100 nF, 16 V, X7R",ADXL345 high-frequency decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
C9,1,Murata,GRM21BR61A106KE19L,10uF,0805,"10 uF, 10 V, X5R",ADXL345 local bulk decoupling,"Verify lifecycle, authorized source, stock, and current datasheet before build"
D1,1,onsemi,SS34,SS34,SMA,"3 A, 40 V",reverse-polarity series protection,"Verify lifecycle, authorized source, stock, and current datasheet before build"
D2,1,Littelfuse,SMBJ5.0A,SMBJ5.0A,SMB,5 V standoff,5 V transient clamp,"Verify lifecycle, authorized source, stock, and current datasheet before build"
D3,1,Littelfuse,SM712-02HTG,SM712,SOT-23,asymmetric RS-485 TVS,RS-485 transient protection,"Verify lifecycle, authorized source, stock, and current datasheet before build"
D4,1,onsemi,SS14,SS14,SMA,"1 A, 40 V",relay flyback diode,"Verify lifecycle, authorized source, stock, and current datasheet before build"
F1,1,Bourns,MF-MSMF110-2,1.1A PTC,1812,"1.1 A hold, 6 V",resettable input overcurrent protection,"Verify lifecycle, authorized source, stock, and current datasheet before build"
J1,1,Phoenix Contact,1715721,5V INPUT,TerminalBlock_2P_5.08mm,"5 VDC, 1.5 A project limit",SELV/PELV power input,"Verify lifecycle, authorized source, stock, and current datasheet before build"
J2,1,Phoenix Contact,1729128,MODBUS A/B/GND,TerminalBlock_3P_5.08mm,SELV/PELV only,RS-485 field connector,"Verify lifecycle, authorized source, stock, and current datasheet before build"
J3,1,Phoenix Contact,1715721,RELAY COM/NO,TerminalBlock_2P_5.08mm,"30 VDC, 2 A project limit; no mains",extra-low-voltage contact output,"Verify lifecycle, authorized source, stock, and current datasheet before build"
J4,1,Phoenix Contact,1715721,CURRENT PATH,TerminalBlock_2P_5.08mm,0 to 2 A DC project limit,demonstrator current path,"Verify lifecycle, authorized source, stock, and current datasheet before build"
J5,1,Harwin,M20-9990546,UART PROGRAM,PinHeader_1x05_P2.54mm,3.3 V logic,3.3 V UART programming header,"Verify lifecycle, authorized source, stock, and current datasheet before build"
JP1,1,Harwin,M20-9990346,TERM ENABLE,PinHeader_1x02_P2.54mm,3 A,termination enable jumper,"Verify lifecycle, authorized source, stock, and current datasheet before build"
JP2,1,Harwin,M20-9990346,BIAS A,PinHeader_1x02_P2.54mm,3 A,fail-safe A bias enable,"Verify lifecycle, authorized source, stock, and current datasheet before build"
JP3,1,Harwin,M20-9990346,BIAS B,PinHeader_1x02_P2.54mm,3 A,fail-safe B bias enable,"Verify lifecycle, authorized source, stock, and current datasheet before build"
K1,1,Omron Electronics,G5V-1-DC5,G5V-1-DC5,Relay_THT_6.5x10mm,"project-limited to 30 VDC, 2 A",extra-low-voltage demo relay,"Verify lifecycle, authorized source, stock, and current datasheet before build"
Q1,1,Alpha & Omega Semiconductor,AO3400A,AO3400A,SOT-23,"30 V, 5.8 A",low-side relay coil driver,"Verify lifecycle, authorized source, stock, and current datasheet before build"
R1,1,Yageo,RC0603FR-0710KL,10k,0603,0.1 W,ESP32 enable pull-up,"Verify lifecycle, authorized source, stock, and current datasheet before build"
R2,1,Yageo,RC0603FR-0710KL,10k,0603,0.1 W,boot strap pull-up,"Verify lifecycle, authorized source, stock, and current datasheet before build"
R3,1,Vishay,WSL2512R0500FEA,0.05R 1%,2512,"0.05 ohm, 1 W",current shunt,"Verify lifecycle, authorized source, stock, and current datasheet before build"
R4,1,Yageo,RC0805FR-07120RL,120R,0805,0.125 W,selectable RS-485 termination,"Verify lifecycle, authorized source, stock, and current datasheet before build"
R5,1,Yageo,RC0603FR-07680RL,680R,0603,0.1 W,RS-485 A bias resistor,"Verify lifecycle, authorized source, stock, and current datasheet before build"
R6,1,Yageo,RC0603FR-07680RL,680R,0603,0.1 W,RS-485 B bias resistor,"Verify lifecycle, authorized source, stock, and current datasheet before build"
