Ref,Val,Package,PosX(mm),PosY(mm),Rot(deg),Side
J1,5V INPUT,TerminalBlock_2P_5.08mm,8,10,90,top
F1,1.1A PTC,1812,18,10,0,top
D1,SS34,SMA,25,10,0,top
D2,SMBJ5.0A,SMB,32,10,90,top
U6,AP2112K-3.3,SOT-23-5,40,10,0,top
C1,100uF,SMD_D8,14,17,0,top
C2,10uF,0805,36,15,0,top
C3,10uF,0805,44,15,0,top
U1,ESP32-WROOM-32E,Module_ESP32-WROOM-32,54,24,0,top
C4,22uF,1206,43,24,90,top
C5,100nF,0603,43,28,90,top
R1,10k,0603,44,33,90,top
R2,10k,0603,44,36,90,top
U2,TMP117M,WSON-6-2x2mm,78,12,0,top
C6,100nF,0603,83,12,0,top
U3,INA219A,SOT-23-8,78,23,0,top
R3,0.05R 1%,2512,88,23,0,top
C7,100nF,0603,78,28,0,top
J4,CURRENT PATH,TerminalBlock_2P_5.08mm,92,12,90,top
U4,ADXL345,LGA-14-3x5mm,78,38,0,top
C8,100nF,0603,85,36,0,top
C9,10uF,0805,85,40,0,top
U5,MAX3485,SOIC-8,18,42,0,top
C10,100nF,0603,24,42,90,top
D3,SM712,SOT-23,10,50,0,top
R4,120R,0805,18,50,0,top
JP1,TERM ENABLE,PinHeader_1x02_P2.54mm,24,50,0,top
JP2,BIAS A,PinHeader_1x02_P2.54mm,30,47,90,top
JP3,BIAS B,PinHeader_1x02_P2.54mm,30,53,90,top
R5,680R,0603,34,47,90,top
R6,680R,0603,34,53,90,top
J2,MODBUS A/B/GND,TerminalBlock_3P_5.08mm,8,61,90,top
Q1,AO3400A,SOT-23,58,51,0,top
R7,100R,0603,50,51,0,top
R8,100k,0603,55,56,90,top
D4,SS14,SMA,67,51,90,top
K1,G5V-1-DC5,Relay_THT_6.5x10mm,76,54,0,top
J3,RELAY COM/NO,TerminalBlock_2P_5.08mm,92,57,90,top
J5,UART PROGRAM,PinHeader_1x05_P2.54mm,43,61,0,top
TP1,3V3,TestPoint_Loop,48,10,0,top
TP2,GND,TestPoint_Loop,52,10,0,top
TP3,SDA,TestPoint_Loop,88,34,0,top
TP4,SCL,TestPoint_Loop,92,34,0,top
TP5,RS485_A,TestPoint_Loop,12,40,0,top
TP6,RS485_B,TestPoint_Loop,12,44,0,top
